Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
20/03/2021 11:43,S,"12058,2",20,3,2021,11:45,
20/03/2021 12:14,N,"5230,4",20,3,2021,12:16,
20/03/2021 12:14,NE,"10199,4",20,3,2021,12:16,
20/03/2021 12:14,SE,"39870,5",20,3,2021,12:16,
20/03/2021 12:14,S,"11707,3",20,3,2021,12:16,
,N,{{norte_verificada}},21,3,2021,12:40,
,NE,{{nordeste_verificada}},21,3,2021,12:40,
,SE,{{sudeste_verificada}},21,3,2021,12:40,
,S,{{sul_verificada}},21,3,2021,12:40,
21/03/2021 18:14,N,"5460,4",21,3,2021,18:16,
21/03/2021 18:14,NE,"11421,7",21,3,2021,18:16,
21/03/2021 18:14,SE,"41093,8",21,3,2021,18:16,
21/03/2021 18:14,S,"11890,0",21,3,2021,18:16,
21/03/2021 19:30,N,"5867,6",21,3,2021,19:32,
21/03/2021 19:30,NE,"11566,2",21,3,2021,19:32,
21/03/2021 19:30,SE,"45665,4",21,3,2021,19:32,
21/03/2021 19:30,S,"13630,1",21,3,2021,19:32,
21/03/2021 19:39,N,"5828,3",21,3,2021,19:41,
21/03/2021 19:39,NE,"11581,0",21,3,2021,19:41,
21/03/2021 19:39,SE,"45456,1",21,3,2021,19:41,
21/03/2021 19:39,S,"13562,5",21,3,2021,19:41,
21/03/2021 19:43,N,"5811,4",21,3,2021,19:45,
21/03/2021 19:43,NE,"11572,7",21,3,2021,19:45,
21/03/2021 19:43,SE,"45360,8",21,3,2021,19:45,
21/03/2021 19:43,S,"13537,2",21,3,2021,19:45,
21/03/2021 19:54,N,"5849,1",21,3,2021,19:56,
21/03/2021 19:54,NE,"11578,4",21,3,2021,19:56,
21/03/2021 19:54,SE,"45381,0",21,3,2021,19:56,
21/03/2021 19:54,S,"13481,8",21,3,2021,19:56,
21/03/2021 19:58,N,"5668,5",21,3,2021,20:00,
21/03/2021 19:58,NE,"11578,7",21,3,2021,20:00,
21/03/2021 19:58,SE,"45526,7",21,3,2021,20:00,
21/03/2021 19:58,S,"13450,0",21,3,2021,20:00,
21/03/2021 20:09,N,"5725,1",21,3,2021,20:11,
21/03/2021 20:09,NE,"11573,2",21,3,2021,20:11,
21/03/2021 20:09,SE,"45388,6",21,3,2021,20:11,
21/03/2021 20:09,S,"13395,2",21,3,2021,20:11,
21/03/2021 20:13,N,"5730,7",21,3,2021,20:15,
21/03/2021 20:13,NE,"11607,7",21,3,2021,20:15,
21/03/2021 20:13,SE,"45623,2",21,3,2021,20:15,
21/03/2021 20:13,S,"13396,7",21,3,2021,20:15,
21/03/2021 20:24,N,"5796,5",21,3,2021,20:26,
21/03/2021 20:24,NE,"11622,9",21,3,2021,20:26,
21/03/2021 20:24,SE,"45308,6",21,3,2021,20:26,
21/03/2021 20:24,S,"13261,5",21,3,2021,20:26,
21/03/2021 20:28,N,"5843,4",21,3,2021,20:30,
21/03/2021 20:28,NE,"11632,5",21,3,2021,20:30,
21/03/2021 20:28,SE,"45274,8",21,3,2021,20:30,
21/03/2021 20:28,S,"13251,6",21,3,2021,20:30,
21/03/2021 20:39,N,"5866,9",21,3,2021,20:41,
21/03/2021 20:39,NE,"11641,3",21,3,2021,20:41,
21/03/2021 20:39,SE,"45119,9",21,3,2021,20:41,
21/03/2021 20:39,S,"13194,0",21,3,2021,20:41,
21/03/2021 20:43,N,"5855,1",21,3,2021,20:45,
21/03/2021 20:43,NE,"11646,3",21,3,2021,20:45,
21/03/2021 20:43,SE,"45089,9",21,3,2021,20:45,
21/03/2021 20:43,S,"13190,0",21,3,2021,20:45,
21/03/2021 20:54,N,"5860,2",21,3,2021,20:56,
21/03/2021 20:54,NE,"11660,2",21,3,2021,20:56,
21/03/2021 20:54,SE,"44926,3",21,3,2021,20:56,
21/03/2021 20:54,S,"13087,6",21,3,2021,20:56,
21/03/2021 20:58,N,"5864,2",21,3,2021,21:00,
21/03/2021 20:58,NE,"11685,7",21,3,2021,21:00,
21/03/2021 20:58,SE,"44860,7",21,3,2021,21:00,
21/03/2021 20:58,S,"13085,3",21,3,2021,21:00,
21/03/2021 21:09,N,"5923,7",21,3,2021,21:11,
21/03/2021 21:09,NE,"11784,4",21,3,2021,21:11,
21/03/2021 21:09,SE,"44617,8",21,3,2021,21:11,
21/03/2021 21:09,S,"13108,5",21,3,2021,21:11,
21/03/2021 21:13,N,"5924,7",21,3,2021,21:15,
21/03/2021 21:13,NE,"11811,9",21,3,2021,21:15,
21/03/2021 21:13,SE,"44603,7",21,3,2021,21:15,
21/03/2021 21:13,S,"13021,5",21,3,2021,21:15,
22/03/2021 07:50,N,"5309,6",22,3,2021,07:52,
22/03/2021 07:50,NE,"10719,7",22,3,2021,07:52,
22/03/2021 07:50,SE,"40422,8",22,3,2021,07:52,
22/03/2021 07:50,S,"13689,8",22,3,2021,07:52,
22/03/2021 07:53,N,"5279,7",22,3,2021,07:55,
22/03/2021 07:53,NE,"10764,1",22,3,2021,07:55,
22/03/2021 07:53,SE,"40477,7",22,3,2021,07:55,
22/03/2021 07:53,S,"13766,9",22,3,2021,07:55,
22/03/2021 07:58,N,"5336,0",22,3,2021,08:00,
22/03/2021 07:58,NE,"10786,8",22,3,2021,08:00,
22/03/2021 07:58,SE,"40558,7",22,3,2021,08:00,
22/03/2021 07:58,S,"13927,5",22,3,2021,08:00,
22/03/2021 08:08,N,"5354,8",22,3,2021,08:10,
22/03/2021 08:08,NE,"10989,3",22,3,2021,08:10,
22/03/2021 08:08,SE,"41411,9",22,3,2021,08:10,
22/03/2021 08:08,S,"14166,4",22,3,2021,08:10,
22/03/2021 08:13,N,"5422,1",22,3,2021,08:15,
22/03/2021 08:13,NE,"10988,4",22,3,2021,08:15,
22/03/2021 08:13,SE,"41719,8",22,3,2021,08:15,
22/03/2021 08:13,S,"14225,7",22,3,2021,08:15,
22/03/2021 08:23,N,"5483,1",22,3,2021,08:25,
22/03/2021 08:23,NE,"11135,6",22,3,2021,08:25,
22/03/2021 08:23,SE,"42183,7",22,3,2021,08:25,
22/03/2021 08:23,S,"14378,4",22,3,2021,08:25,
22/03/2021 08:28,N,"5519,8",22,3,2021,08:30,
22/03/2021 08:28,NE,"11197,4",22,3,2021,08:30,
22/03/2021 08:28,SE,"42438,5",22,3,2021,08:30,
22/03/2021 08:28,S,"14432,7",22,3,2021,08:30,
22/03/2021 08:38,N,"5546,3",22,3,2021,08:40,
22/03/2021 08:38,NE,"11312,3",22,3,2021,08:40,
22/03/2021 08:38,SE,"42456,5",22,3,2021,08:40,
22/03/2021 08:38,S,"14546,6",22,3,2021,08:40,
22/03/2021 08:43,N,"5568,9",22,3,2021,08:45,
22/03/2021 08:43,NE,"11238,0",22,3,2021,08:45,
22/03/2021 08:43,SE,"42750,0",22,3,2021,08:45,
22/03/2021 08:43,S,"14542,5",22,3,2021,08:45,
22/03/2021 08:53,N,"5588,5",22,3,2021,08:55,
22/03/2021 08:53,NE,"11368,4",22,3,2021,08:55,
22/03/2021 08:53,SE,"42920,3",22,3,2021,08:55,
22/03/2021 08:53,S,"14605,9",22,3,2021,08:55,
,N,{{norte_verificada}},22,3,2021,09:00,
,NE,{{nordeste_verificada}},22,3,2021,09:00,
,SE,{{sudeste_verificada}},22,3,2021,09:00,
,S,{{sul_verificada}},22,3,2021,09:00,
22/03/2021 09:08,N,"5611,1",22,3,2021,09:10,
22/03/2021 09:08,NE,"11311,9",22,3,2021,09:10,
22/03/2021 09:08,SE,"43331,2",22,3,2021,09:10,
22/03/2021 09:08,S,"14532,5",22,3,2021,09:10,
22/03/2021 09:13,N,"5619,4",22,3,2021,09:15,
22/03/2021 09:13,NE,"11366,8",22,3,2021,09:15,
22/03/2021 09:13,SE,"43487,4",22,3,2021,09:15,
22/03/2021 09:13,S,"14563,1",22,3,2021,09:15,
22/03/2021 09:23,N,"5645,9",22,3,2021,09:25,
22/03/2021 09:23,NE,"11394,6",22,3,2021,09:25,
22/03/2021 09:23,SE,"43809,5",22,3,2021,09:25,
22/03/2021 09:23,S,"14648,5",22,3,2021,09:25,
22/03/2021 09:28,N,"5650,1",22,3,2021,09:30,
22/03/2021 09:28,NE,"11454,6",22,3,2021,09:30,
22/03/2021 09:28,SE,"43947,8",22,3,2021,09:30,
22/03/2021 09:28,S,"14687,5",22,3,2021,09:30,
22/03/2021 09:38,N,"5662,2",22,3,2021,09:40,
22/03/2021 09:38,NE,"11473,6",22,3,2021,09:40,
22/03/2021 09:38,SE,"43995,7",22,3,2021,09:40,
22/03/2021 09:38,S,"14729,7",22,3,2021,09:40,
22/03/2021 10:08,N,"5706,2",22,3,2021,10:10,
22/03/2021 10:08,NE,"11513,4",22,3,2021,10:10,
22/03/2021 10:08,SE,"44827,8",22,3,2021,10:10,
22/03/2021 10:08,S,"14930,8",22,3,2021,10:10,
22/03/2021 10:13,N,"5694,4",22,3,2021,10:15,
22/03/2021 10:13,NE,"11551,5",22,3,2021,10:15,
22/03/2021 10:13,SE,"44945,7",22,3,2021,10:15,
22/03/2021 10:13,S,"14979,9",22,3,2021,10:15,
22/03/2021 10:23,N,"5738,4",22,3,2021,10:25,
22/03/2021 10:23,NE,"11580,4",22,3,2021,10:25,
22/03/2021 10:23,SE,"45165,9",22,3,2021,10:25,
22/03/2021 10:23,S,"15042,7",22,3,2021,10:25,
22/03/2021 10:28,N,"5687,5",22,3,2021,10:30,
22/03/2021 10:28,NE,"11617,8",22,3,2021,10:30,
22/03/2021 10:28,SE,"45108,1",22,3,2021,10:30,
22/03/2021 10:28,S,"15090,5",22,3,2021,10:30,
22/03/2021 10:38,N,"5716,8",22,3,2021,10:40,
22/03/2021 10:38,NE,"11608,3",22,3,2021,10:40,
22/03/2021 10:38,SE,"45173,4",22,3,2021,10:40,
22/03/2021 10:38,S,"15156,6",22,3,2021,10:40,
22/03/2021 10:43,N,"5737,0",22,3,2021,10:45,
22/03/2021 10:43,NE,"11618,5",22,3,2021,10:45,
22/03/2021 10:43,SE,"45245,7",22,3,2021,10:45,
22/03/2021 10:43,S,"15172,3",22,3,2021,10:45,
22/03/2021 10:53,N,"5720,2",22,3,2021,10:55,
22/03/2021 10:53,NE,"11604,9",22,3,2021,10:55,
22/03/2021 10:53,SE,"45320,4",22,3,2021,10:55,
22/03/2021 10:53,S,"15256,6",22,3,2021,10:55,
22/03/2021 10:58,N,"5730,5",22,3,2021,11:00,
22/03/2021 10:58,NE,"11577,9",22,3,2021,11:00,
22/03/2021 10:58,SE,"45327,4",22,3,2021,11:00,
22/03/2021 10:58,S,"15243,0",22,3,2021,11:00,
22/03/2021 11:08,N,"5669,9",22,3,2021,11:10,
22/03/2021 11:08,NE,"11508,7",22,3,2021,11:10,
